Postcode,Postcode Latitude,Postcode Longtitude,Venue,Venue Category,Venue Latitude,Venue Longitude
M1B,43.8066863,-79.19435340000003,Wendy's,Fast Food Restaurant,43.80744841934756,-79.19905558052072
M1C,43.7845351,-79.16049709999999,Royal Canadian Legion,Bar,43.78253332838298,-79.16308473261682
M1C,43.7845351,-79.16049709999999,Scarborough Historical Society,History Museum,43.78875526434558,-79.162437915802
M1E,43.7635726,-79.1887115,Swiss Chalet Rotisserie & Grill,Pizza Place,43.76769708292701,-79.1899135003439
M1E,43.7635726,-79.1887115,G & G Electronics,Electronics Store,43.765309,-79.191537
M1E,43.7635726,-79.1887115,Marina Spa,Spa,43.766,-79.191
M1E,43.7635726,-79.1887115,Big Bite Burrito,Mexican Restaurant,43.766299084470795,-79.19071980583941
M1E,43.7635726,-79.1887115,Enterprise Rent-A-Car,Rental Car Location,43.7640757,-79.1934057
M1E,43.7635726,-79.1887115,Woburn Medical Centre,Medical Center,43.766631153138455,-79.19228553771973
M1E,43.7635726,-79.1887115,Eggsmart,Breakfast Spot,43.7678,-79.190466
M1G,43.7709921,-79.21691740000001,Starbucks,Coffee Shop,43.770037201625215,-79.22115586641958
M1G,43.7709921,-79.21691740000001,Tim Hortons,Coffee Shop,43.7708270725628,-79.22307810384153
M1G,43.7709921,-79.21691740000001,Korean Grill House,Korean Restaurant,43.7708117291354,-79.21450208834013
M1H,43.773136,-79.23947609999998,Federick Restaurant,Hakka Restaurant,43.77469659057996,-79.24114242818267
M1H,43.773136,-79.23947609999998,Drupati's Roti & Doubles,Caribbean Restaurant,43.775222138791534,-79.24167761001029
M1H,43.773136,-79.23947609999998,Centennial Recreation Centre,Athletics & Sports,43.77459330890341,-79.23649962433035
M1H,43.773136,-79.23947609999998,Thai One On,Thai Restaurant,43.77446763641413,-79.24126833717742
M1H,43.773136,-79.23947609999998,TD Canada Trust,Bank,43.77495189482367,-79.24134314060211
M1H,43.773136,-79.23947609999998,B&A Bakery,Bakery,43.77439074389114,-79.24387684648542
M1H,43.773136,-79.23947609999998,Popeyes Louisiana Kitchen,Fried Chicken Joint,43.7759298356196,-79.23532833470263
M1J,43.7447342,-79.23947609999998,McCowan Park,Playground,43.74508851212816,-79.239335687338
M1J,43.7447342,-79.23947609999998,True Discount Convenience Store,Convenience Store,43.74385420196717,-79.24464963318577
M1K,43.7279292,-79.26202940000002,Giant Tiger,Department Store,43.72744662939136,-79.26624035854763
M1K,43.7279292,-79.26202940000002,Tim Hortons,Coffee Shop,43.72689508691926,-79.26615692675114
M1K,43.7279292,-79.26202940000002,Hakka No.1,Chinese Restaurant,43.72768846107342,-79.26605655631751
M1K,43.7279292,-79.26202940000002,Dollarama,Discount Store,43.72690439744201,-79.26588589287013
M1K,43.7279292,-79.26202940000002,Dollarama,Discount Store,43.72659620252377,-79.26682995710473
M1K,43.7279292,-79.26202940000002,Kennedy Station Passenger Pickup,Bus Station,43.73200926072711,-79.26453709017373
M1L,43.7111117,-79.2845772,Dairy Queen,Fast Food Restaurant,43.71037770465013,-79.29070115089417
M1L,43.7111117,-79.2845772,Warden Ave & St. Clair Ave E,Intersection,43.71205669347002,-79.28100496530533
M1L,43.7111117,-79.2845772,TTC Bus #68 Warden,Bus Line,43.71177810997778,-79.27971412913774
M1L,43.7111117,-79.2845772,Warden Subway Station,Metro Station,43.71122905571982,-79.27960224480387
M1L,43.7111117,-79.2845772,TTC Bus 102 Markham Road,Bus Line,43.711381420906115,-79.27958752636661
M1L,43.7111117,-79.2845772,Warden Station Bus Loop,Bus Station,43.71124084776515,-79.27957605867647
M1L,43.7111117,-79.2845772,Bakery On The Go,Bakery,43.711270905205765,-79.27950587661704
M1L,43.7111117,-79.2845772,Cafe on the go,Bakery,43.71115104374148,-79.27946923512921
M1L,43.7111117,-79.2845772,Warden Woods Park,Park,43.71052711027375,-79.27896551895955
M1L,43.7111117,-79.2845772,Clairlea Futbol Centre,Soccer Field,43.71523429184505,-79.28650639185544
M1M,43.716316,-79.23947609999998,Have A Nap Motel,Motel,43.718256,-79.240135
M1M,43.716316,-79.23947609999998,Jenns Den,Movie Theater,43.71838202909779,-79.2385041515183
M1M,43.716316,-79.23947609999998,Vincent's Spot,American Restaurant,43.71700152544261,-79.24235338465942
M1N,43.692657,-79.2648481,The Birchcliff,Café,43.69166644406541,-79.26453158481682
M1N,43.692657,-79.2648481,Birchmount Community Centre,General Entertainment,43.69517507509799,-79.26216087070237
M1N,43.692657,-79.2648481,Scarborough Gardens,Skating Rink,43.6946465192162,-79.26223031725522
M1N,43.692657,-79.2648481,Birchmount Stadium,College Stadium,43.695322867712626,-79.26129341125488
M1P,43.7574096,-79.27330400000002,Kim Kim restaurant,Chinese Restaurant,43.75383283792732,-79.27661122245037
M1P,43.7574096,-79.27330400000002,Kairali,Indian Restaurant,43.75476837158203,-79.2771987915039
M1P,43.7574096,-79.27330400000002,Karaikudi Chettinad South Indian Restaurant,Indian Restaurant,43.756041539453136,-79.27627591942013
M1P,43.7574096,-79.27330400000002,Pho Vietnam,Vietnamese Restaurant,43.757770305647185,-79.27857193068989
M1P,43.7574096,-79.27330400000002,Big Al's Pet Supercentre,Pet Store,43.75927894411595,-79.27832544749343
M1P,43.7574096,-79.27330400000002,El Pulgarcito,Latin American Restaurant,43.754789900822274,-79.2770639581697
M1P,43.7574096,-79.27330400000002,Mill St. Brewery,Brewery,43.759471599836886,-79.27112102508545
M1P,43.7574096,-79.27330400000002,Blinds To Go,Furniture / Home Store,43.757146885289295,-79.27807331085205
M1P,43.7574096,-79.27330400000002,Omescape Scarborough,Gaming Cafe,43.754158,-79.27623
M1R,43.7500715,-79.2958491,Wexford Restaurant,Breakfast Spot,43.7460300445972,-79.29384330907153
M1R,43.7500715,-79.2958491,Subway,Sandwich Place,43.746007572548756,-79.29323762088987
M1R,43.7500715,-79.2958491,Lebanese bakery,Middle Eastern Restaurant,43.74670137305754,-79.29289639281615
M1R,43.7500715,-79.2958491,Frank's Smoke Shop,Smoke Shop,43.74589,-79.29494
M1R,43.7500715,-79.2958491,Scarborough Garage Door Repair,Auto Garage,43.75128820404063,-79.30150777101517
M1R,43.7500715,-79.2958491,Crown Pastries,Bakery,43.746098,-79.293142
M1S,43.7942003,-79.26202940000002,Panagio's Breakfast & Lunch,Breakfast Spot,43.79237001092506,-79.26020325805978
M1S,43.7942003,-79.26202940000002,Subway,Sandwich Place,43.792823261905156,-79.2596812397533
M1S,43.7942003,-79.26202940000002,Twilight,Lounge,43.791999483291015,-79.25858447143591
M1S,43.7942003,-79.26202940000002,Mark's,Clothing Store,43.791178865505806,-79.25971427359902
M1T,43.7816375,-79.3043021,Remezzo Italian Bistro,Italian Restaurant,43.778649,-79.308264
M1T,43.7816375,-79.3043021,The Royal Chinese Restaurant 避風塘小炒,Chinese Restaurant,43.78050473445372,-79.29884391314476
M1T,43.7816375,-79.3043021,Eight Noodles,Noodle House,43.77823412485005,-79.30829897588661
M1T,43.7816375,-79.3043021,Kub Khao,Thai Restaurant,43.780437780734204,-79.2998370364667
M1T,43.7816375,-79.3043021,Little Caesars,Pizza Place,43.78056271894292,-79.2986242771319
M1T,43.7816375,-79.3043021,Popeyes,Fried Chicken Joint,43.780476,-79.29846
M1T,43.7816375,-79.3043021,KFC,Fast Food Restaurant,43.77943993243305,-79.30337149356963
M1T,43.7816375,-79.3043021,Enterprise Rent-A-Car,Rental Car Location,43.77937,-79.30653
M1T,43.7816375,-79.3043021,Gusto Pizza,Pizza Place,43.78360724036883,-79.29898327417831
M1T,43.7816375,-79.3043021,Rexall,Pharmacy,43.78073190083844,-79.2982568317862
M1V,43.8152522,-79.2845772,Port Royal Park,Park,43.815477,-79.289773
M1V,43.8152522,-79.2845772,Milliken Public School Playground,Playground,43.81538282984429,-79.2898673242174
M1W,43.79952520000001,-79.3183887,Mr Congee Chinese Cuisine 龍粥記,Chinese Restaurant,43.798878792587615,-79.3183345011537
M1W,43.79952520000001,-79.3183887,Phoenix Restaurant 金鳳餐廳,Chinese Restaurant,43.79819775434163,-79.31843152382791
M1W,43.79952520000001,-79.3183887,Price Chopper,Grocery Store,43.799444969304986,-79.3185634598668
M1W,43.79952520000001,-79.3183887,Subway,Sandwich Place,43.798982701368914,-79.31883822486604
M1W,43.79952520000001,-79.3183887,Tim Hortons,Coffee Shop,43.7982809835749,-79.31831717491156
M1W,43.79952520000001,-79.3183887,Shoppers Drug Mart,Pharmacy,43.79967023212875,-79.31931541731906
M1W,43.79952520000001,-79.3183887,KFC,Fast Food Restaurant,43.7989384013184,-79.31885368338149
M1W,43.79952520000001,-79.3183887,McDonald's,Fast Food Restaurant,43.79888016781628,-79.31872352564541
M1W,43.79952520000001,-79.3183887,Eggsmart,Breakfast Spot,43.796375,-79.318681
M1W,43.79952520000001,-79.3183887,Pizza Pizza,Pizza Place,43.79790927666095,-79.31811332702635
M1W,43.79952520000001,-79.3183887,Rogers Plus,Electronics Store,43.79891100560725,-79.31827661522881
M1W,43.79952520000001,-79.3183887,Olives,American Restaurant,43.79854980026818,-79.31852630437791
M1W,43.79952520000001,-79.3183887,Ocean Nails Spa,Nail Salon,43.79529,-79.320101
M2H,43.8037622,-79.3634517,Eagle's Nest Golf Club,Golf Course,43.805454826002794,-79.36418592243415
M2H,43.8037622,-79.3634517,AY Jackson Pool,Pool,43.804515413699576,-79.36613821581467
M2H,43.8037622,-79.3634517,Villa Madina,Mediterranean Restaurant,43.80168506227364,-79.36393844569061
M2H,43.8037622,-79.3634517,Duncan Creek Park,Dog Run,43.80553928816196,-79.36069456944033
M2H,43.8037622,-79.3634517,A.Y. Jackson Secondary School Track,Athletics & Sports,43.80506848683886,-79.36667715153746
M2J,43.7785175,-79.3465557,The LEGO Store,Toy / Game Store,43.77820727238842,-79.34348299621146
M2J,43.7785175,-79.3465557,CF Fairview Mall,Shopping Mall,43.777803453429044,-79.34422617863866
M2J,43.7785175,-79.3465557,Shoppers Drug Mart,Pharmacy,43.77887797856986,-79.34469666026429
M2J,43.7785175,-79.3465557,Michel's Baguette,Bakery,43.77708227220403,-79.34455653003414
M2J,43.7785175,-79.3465557,SilverCity Fairview Mall Cinemas,Movie Theater,43.77868093228815,-79.3440850072426
M2J,43.7785175,-79.3465557,Apple Fairview,Electronics Store,43.7779146,-79.343561
M2J,43.7785175,-79.3465557,Hero Certified Burgers,Burger Joint,43.7772948385197,-79.34458372068603
M2J,43.7785175,-79.3465557,DAVIDsTEA,Tea Room,43.77754451824154,-79.34526267457191
M2J,43.7785175,-79.3465557,Purdys Chocolatier,Candy Store,43.778098701639394,-79.34385251241302
M2J,43.7785175,-79.3465557,Moxie's Classic Grill,American Restaurant,43.777778810576905,-79.34318499889385
M2J,43.7785175,-79.3465557,Aroma Espresso Bar,Coffee Shop,43.777700197902725,-79.34465166972005
M2J,43.7785175,-79.3465557,New York Fries,Fast Food Restaurant,43.77829829945936,-79.34326735202254
M2J,43.7785175,-79.3465557,The Bay,Department Store,43.777830351654046,-79.34304327486974
M2J,43.7785175,-79.3465557,Booster Juice,Smoothie Shop,43.77742786,-79.3449699
M2J,43.7785175,-79.3465557,De Berardini's,Salon / Barbershop,43.77806925637981,-79.34264197549473
